Argent Final (€),4028.35
Réserve d'Eau Finale (L),338.68
Score de Durabilité Final (%),89.00
Nombre de Récoltes,1

Journal Quotidien
Jour,Rendement du jour (kg),Qualité moyenne du sol (%)
1,0.00,96.33
2,0.00,96.33
3,0.00,96.33
4,0.00,96.33
5,0.00,96.33
6,0.00,96.33
7,0.00,95.50
8,0.00,94.67
9,0.00,94.67
10,0.00,94.67
11,0.00,94.67
12,0.00,94.67
13,0.00,93.83
14,0.00,93.83
15,0.00,93.83
16,0.00,93.83
17,0.00,93.00
18,0.00,92.17
19,0.00,92.17
20,0.00,92.17
21,0.00,92.17
22,0.00,92.17
23,0.00,92.17
24,0.00,91.83
25,0.00,91.50
26,0.00,91.17
27,0.00,90.83
28,0.00,90.50
29,0.00,90.50
30,0.00,90.50
31,0.00,89.33
32,0.00,88.67
33,0.00,88.67
34,0.00,88.67
35,0.00,88.67
36,78.35,88.83
37,0.00,89.00
38,0.00,89.17
39,0.00,89.33
40,0.00,89.17
