Argent Final (€),4370.00
Réserve d'Eau Finale (L),433.46
Score de Durabilité Final (%),91.00
Nombre de Récoltes,0

Journal Quotidien
Jour,Rendement du jour (kg),Qualité moyenne du sol (%)
1,0.00,95.00
2,0.00,95.00
3,0.00,95.00
4,0.00,95.00
5,0.00,95.00
6,0.00,95.00
7,0.00,95.00
8,0.00,95.00
9,0.00,95.00
10,0.00,95.00
11,0.00,95.00
12,0.00,95.00
13,0.00,95.00
14,0.00,95.00
15,0.00,95.00
16,0.00,95.00
17,0.00,95.00
18,0.00,95.00
19,0.00,95.00
20,0.00,95.00
21,0.00,95.00
22,0.00,95.00
23,0.00,95.00
24,0.00,95.00
25,0.00,94.50
26,0.00,94.50
27,0.00,94.00
28,0.00,93.50
29,0.00,93.00
30,0.00,92.50
31,0.00,92.50
32,0.00,92.00
33,0.00,92.00
34,0.00,91.50
35,0.00,91.50
36,0.00,91.50
37,0.00,91.50
38,0.00,91.50
39,0.00,91.50
40,0.00,91.50
