Resume
Argent Final (E),3990.00
Reserve d Eau Finale (L),259.11
Score de Durabilite (%),89
Nourriture Recoltee (kg),0.00
Objectif Nourriture (kg),480.00
Nombre de Recoltes,0

Journal Quotidien
Jour,Rendement (kg),Qualite Sol (%)
1,0.00,94.67
2,0.00,94.67
3,0.00,94.67
4,0.00,94.67
5,0.00,94.58
6,0.00,94.58
7,0.00,94.58
8,0.00,94.58
9,0.00,94.58
10,0.00,94.58
11,0.00,94.58
12,0.00,94.58
13,0.00,94.58
14,0.00,94.58
15,0.00,94.58
16,0.00,94.58
17,0.00,94.58
18,0.00,94.58
19,0.00,94.58
20,0.00,94.58
21,0.00,94.58
22,0.00,91.25
23,0.00,91.25
24,0.00,91.17
25,0.00,91.08
26,0.00,90.67
27,0.00,90.67
28,0.00,90.58
29,0.00,90.50
30,0.00,89.67
31,0.00,89.67
32,0.00,89.67
33,0.00,89.67
34,0.00,89.58
35,0.00,89.58
36,0.00,89.58
37,0.00,89.58
38,0.00,89.58
39,0.00,89.58
40,0.00,89.58
